,Date,Daily Max 8-hour CO Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
105,06/14/2020,0.1,1,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/14/2020,Bronx,78,46645,4689,253970
106,06/15/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/15/2020,Bronx,65,46710,4542,258512
107,06/16/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/16/2020,Bronx,68,46778,5106,263618
108,06/17/2020,0.1,1,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/17/2020,Bronx,52,46830,5556,269174
109,06/18/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/18/2020,Bronx,85,46915,6272,275446
110,06/19/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/19/2020,Bronx,64,46979,5007,280453
111,06/20/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/20/2020,Bronx,48,47027,4694,285147
112,06/21/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/21/2020,Bronx,65,47092,4917,290064
113,06/22/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/22/2020,Bronx,62,47154,3723,293787
114,06/23/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/23/2020,Bronx,76,47230,3549,297336
