"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/23/2020","AQS","360010012","1","0.037","ppm","34","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/24/2020","AQS","360010012","1","0.035","ppm","32","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/25/2020","AQS","360010012","1","0.038","ppm","35","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/26/2020","AQS","360010012","1","0.044","ppm","41","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/27/2020","AQS","360010012","1","0.037","ppm","34","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/28/2020","AQS","360010012","1","0.03","ppm","28","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/29/2020","AQS","360010012","1","0.042","ppm","39","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/30/2020","AQS","360010012","1","0.034","ppm","31","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/31/2020","AQS","360010012","1","0.037","ppm","34","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/01/2020","AQS","360010012","1","0.045","ppm","42","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/02/2020","AQS","360010012","1","0.038","ppm","35","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/03/2020","AQS","360010012","1","0.034","ppm","31","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/04/2020","AQS","360010012","1","0.041","ppm","38","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/05/2020","AQS","360010012","1","0.037","ppm","34","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/06/2020","AQS","360010012","1","0.042","ppm","39","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/07/2020","AQS","360010012","1","0.05","ppm","46","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/08/2020","AirNow","360010012","1","0.043","ppm","40","LOUDONVILLE","18","75.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/09/2020","AQS","360010012","1","0.042","ppm","39","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/10/2020","AQS","360010012","1","0.035","ppm","32","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/11/2020","AQS","360010012","1","0.044","ppm","41","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/12/2020","AQS","360010012","1","0.047","ppm","44","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/13/2020","AQS","360010012","1","0.043","ppm","40","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/14/2020","AQS","360010012","1","0.044","ppm","41","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/15/2020","AQS","360010012","1","0.043","ppm","40","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/16/2020","AQS","360010012","1","0.039","ppm","36","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/17/2020","AQS","360010012","1","0.045","ppm","42","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/18/2020","AQS","360010012","1","0.043","ppm","40","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/19/2020","AQS","360010012","1","0.05","ppm","46","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/20/2020","AQS","360010012","1","0.044","ppm","41","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/21/2020","AQS","360010012","1","0.04","ppm","37","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
