,Date,Daily Max 8-hour Ozone Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
100,06/09/2020,0.048,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/09/2020,Albany,3,1986,569,33379
101,06/10/2020,0.053,49,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/10/2020,Albany,10,1996,774,34153
102,06/11/2020,0.039,36,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/11/2020,Albany,11,2007,1103,35256
103,06/12/2020,0.04,37,LOUDONVILLE,14,82.0,Albany,42.68075,-73.75733000000001,06/12/2020,Albany,9,2016,739,35995
104,06/13/2020,0.022000000000000002,20,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/13/2020,Albany,4,2020,874,36869
105,06/14/2020,0.024,22,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/14/2020,Albany,2,2022,496,37365
106,06/15/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/15/2020,Albany,4,2026,577,37942
107,06/16/2020,0.04,37,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/16/2020,Albany,3,2029,592,38534
108,06/17/2020,0.06,67,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/17/2020,Albany,5,2034,843,39377
109,06/18/2020,0.031,29,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/18/2020,Albany,15,2049,1070,40447
110,06/19/2020,0.046,43,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/19/2020,Albany,4,2053,610,41057
111,06/20/2020,0.048,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/20/2020,Albany,1,2054,784,41841
112,06/21/2020,0.047,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/21/2020,Albany,6,2060,931,42772
113,06/22/2020,0.048,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/22/2020,Albany,2,2062,427,43199
114,06/23/2020,0.061,71,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/23/2020,Albany,3,2065,586,43785
115,06/24/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/24/2020,Albany,11,2076,1325,45110
116,06/25/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/25/2020,Albany,8,2084,630,45740
117,06/26/2020,0.043,40,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/26/2020,Albany,7,2091,799,46539
118,06/27/2020,0.035,32,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/27/2020,Albany,6,2097,762,47301
119,06/28/2020,0.028999999999999998,27,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/28/2020,Albany,2,2099,514,47815
120,06/29/2020,0.035,32,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/29/2020,Albany,3,2102,543,48358
121,06/30/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/30/2020,Albany,10,2112,731,49089
122,07/01/2020,0.034,31,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/01/2020,Albany,13,2125,928,50017
123,07/02/2020,0.035,32,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/02/2020,Albany,5,2130,805,50822
124,07/03/2020,0.024,22,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/03/2020,Albany,15,2145,970,51792
125,07/04/2020,0.032,30,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/04/2020,Albany,7,2152,1098,52890
126,07/05/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/05/2020,Albany,8,2160,626,53516
127,07/06/2020,0.042,39,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/06/2020,Albany,4,2164,421,53937
128,07/07/2020,0.049,45,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/07/2020,Albany,11,2175,1020,54957
129,07/08/2020,0.045,42,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/08/2020,Albany,8,2183,1260,56217
130,07/09/2020,0.053,49,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/09/2020,Albany,7,2190,625,56842
131,07/10/2020,0.022000000000000002,20,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/10/2020,Albany,18,2208,1252,58094
132,07/11/2020,0.044000000000000004,41,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/11/2020,Albany,11,2219,815,58909
133,07/12/2020,0.031,29,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/12/2020,Albany,6,2225,594,59503
134,07/13/2020,0.035,32,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/13/2020,Albany,22,2247,1139,60642
135,07/14/2020,0.027999999999999997,26,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/14/2020,Albany,33,2280,860,61502
136,07/15/2020,0.046,43,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/15/2020,Albany,10,2290,1065,62567
137,07/16/2020,0.033,31,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/16/2020,Albany,20,2310,1098,63665
138,07/17/2020,0.04,37,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/17/2020,Albany,5,2315,816,64481
139,07/18/2020,0.049,45,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/18/2020,Albany,3,2318,335,64816
140,07/19/2020,0.051,47,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/19/2020,Albany,4,2322,877,65693
141,07/20/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/20/2020,Albany,29,2351,1354,67047
142,07/21/2020,0.035,32,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/21/2020,Albany,18,2369,981,68028
143,07/22/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/22/2020,Albany,32,2401,975,69003
144,07/23/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/23/2020,Albany,25,2426,896,69899
145,07/24/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/24/2020,Albany,12,2438,632,70531
146,07/25/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/25/2020,Albany,13,2451,817,71348
147,07/26/2020,0.044000000000000004,41,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/26/2020,Albany,2,2453,820,72168
148,07/27/2020,0.047,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/27/2020,Albany,15,2468,929,73097
149,07/28/2020,0.03,28,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/28/2020,Albany,12,2480,843,73940
150,07/29/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/29/2020,Albany,13,2493,763,74703
151,07/30/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/30/2020,Albany,10,2503,745,75448
152,07/31/2020,0.032,30,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,07/31/2020,Albany,12,2515,1055,76503
