,Date,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
491,04/04/2020,21.6,20,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/04/2020,Erie,110,918,402,3926
492,04/05/2020,17.4,16,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/05/2020,Erie,105,1023,549,4475
493,04/05/2020,20.8,19,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/05/2020,Erie,105,1023,549,4475
494,04/06/2020,29.2,27,BUFFALO,20,83.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/06/2020,Erie,112,1135,396,4871
495,04/06/2020,22.9,21,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/06/2020,Erie,112,1135,396,4871
496,04/07/2020,36.0,34,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/07/2020,Erie,70,1205,295,5166
497,04/07/2020,26.4,25,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/07/2020,Erie,70,1205,295,5166
498,04/08/2020,23.4,22,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/08/2020,Erie,157,1362,458,5624
499,04/08/2020,19.2,18,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/08/2020,Erie,157,1362,458,5624
500,04/09/2020,21.5,20,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/09/2020,Erie,47,1409,309,5933
501,04/09/2020,10.0,9,Buffalo Near-Road,20,83.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/09/2020,Erie,47,1409,309,5933
502,04/10/2020,4.1,4,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/10/2020,Erie,63,1472,297,6230
503,04/10/2020,8.2,8,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/10/2020,Erie,63,1472,297,6230
504,04/11/2020,25.8,24,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/11/2020,Erie,99,1571,317,6547
505,04/11/2020,18.2,17,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/11/2020,Erie,99,1571,317,6547
506,04/12/2020,29.3,27,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/12/2020,Erie,53,1624,182,6729
507,04/12/2020,19.6,18,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/12/2020,Erie,53,1624,182,6729
508,04/13/2020,7.2,7,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/13/2020,Erie,44,1668,223,6952
509,04/13/2020,7.2,7,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/13/2020,Erie,44,1668,223,6952
510,04/14/2020,6.3,6,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/14/2020,Erie,83,1751,326,7278
511,04/14/2020,7.9,7,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/14/2020,Erie,83,1751,326,7278
512,04/15/2020,13.9,12,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/15/2020,Erie,99,1850,394,7672
513,04/15/2020,14.5,13,Buffalo Near-Road,21,88.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/15/2020,Erie,99,1850,394,7672
